X-axis,Y-axis,Link
330203.48792160663,4166635.1500428896,2
330203.6279265346,4166635.6180892815,2
330203.7679314485,4166636.086135677,2
330203.9079363486,4166636.5541820736,2
330204.04794125905,4166637.022228461,2
330204.18794617115,4166637.4902748424,2
330204.32795107167,4166637.9583212263,2
330204.467955956,4166638.426367613,2
330204.6079608286,4166638.8944140016,2
330204.747965685,4166639.3624603925,2
330204.8879705298,4166639.830506785,2
330205.02797535836,4166640.2985531786,2
330205.16798017523,4166640.7665995746,2
330205.307985007,4166641.2346459585,2
330205.4479898695,4166641.702692326,2
330205.58799471793,4166642.1707386957,2
330205.7279995503,4166642.638785067,2
330205.86800437095,4166643.1068314416,2
330206.0080091775,4166643.5748778153,2
330206.14801397035,4166644.0429241937,2
330206.2880187469,4166644.5109705743,2
330206.4280235118,4166644.979016956,2
330206.5680282627,4166645.447063339,2
330206.70803299965,4166645.915109725,2
330206.84803772054,4166646.383156114,2
330206.9880424319,4166646.851202505,2
330207.1280471271,4166647.319248898,2
330207.26805189287,4166647.7872952507,2
330207.4080566581,4166648.255341604,2
330207.5480614117,4166648.7233879548,2
330207.688066149,4166649.1914343107,2
330207.8280708747,4166649.659480668,2
330207.96807558415,4166650.1275270293,2
330208.1080802797,4166650.595573391,2
330208.2480849613,4166651.0636197543,2
330208.3880896313,4166651.53166612,2
330208.52809428493,4166651.999712488,2
330208.668098927,4166652.467758859,2
330208.8081035529,4166652.9358052313,2
330208.9481081649,4166653.403851607,2
330209.08811276284,4166653.871897983,2
330209.2281173492,4166654.339944362,2
330209.36812191934,4166654.8079907442,2
330209.50812652445,4166655.2760371035,2
330209.6481311802,4166655.744083438,2
330209.788135822,4166656.212129773,2
330209.9281404499,4166656.6801761105,2
330210.0681450638,4166657.1482224506,2
330210.20814966393,4166657.616268793,2
330210.34815425,4166658.084315137,2
330210.48815882206,4166658.552361483,2
330210.6281633803,4166659.0204078313,2
330210.76816792454,4166659.488454181,2
330210.908172455,4166659.956500535,2
330211.04817696917,4166660.424546889,2
330211.1881814738,4166660.8925932464,2
330211.32818596007,4166661.360639605,2
330211.46819043695,4166661.8286859663,2
330211.6081948953,4166662.2967323298,2
330211.74819934426,4166662.7647786965,2
330211.88820377487,4166663.2328250636,2
330212.02820825606,4166663.7008714047,2
330212.16821277887,4166664.168917721,2
330212.30821728776,4166664.636964041,2
330212.4482217828,4166665.1050103623,2
330212.5882262638,4166665.5730566876,2
330212.728230731,4166666.0411030133,2
330212.8682351841,4166666.5091493414,2
330213.00823962333,4166666.9771956727,2
330213.14824404864,4166667.4452420045,2
330213.28824845783,4166667.913288339,2
330213.4282528552,4166668.381334675,2
330213.5682572387,4166668.8493810147,2
330213.7082616083,4166669.3174273553,2
330213.8482659639,4166669.7854736983,2
330213.9882703056,4166670.2535200436,2
330214.1282746334,4166670.7215663926,2
330214.2682789472,4166671.189612742,2
330214.40828324703,4166671.657659094,2
330214.54828760424,4166672.125705415,2
330214.6882919875,4166672.593751719,2
330214.82829635916,4166673.061798024,2
330214.9683007145,4166673.5298443325,2
330215.1083050582,4166673.9978906433,2
330215.24830938794,4166674.4659369555,2
330215.3883137037,4166674.9339832696,2
330215.5283180034,4166675.402029587,2
330215.6683222914,4166675.8700759057,2
330215.80832656537,4166676.3381222268,2
330215.9483308255,4166676.806168549,2
330216.08833506936,4166677.2742148754,2
330216.2283393016,4166677.742261203,2
330216.36834351765,4166678.2103075325,2
330216.5083477242,4166678.6783538633,2
330216.6483519124,4166679.1464001974,2
330216.7883561067,4166679.6144465255,2
330216.92836036714,4166680.0824928177,2
330217.06836461363,4166680.550539112,2
330217.20836884616,4166681.01858541,2
330217.34837306483,4166681.486631709,2
330217.48837726953,4166681.9546780107,2
330217.62838146026,4166682.4227243126,2
330217.7683856371,4166682.890770618,2
330217.9083898,4166683.3588169254,2
330218.048393949,4166683.8268632353,2
330218.18839808396,4166684.294909548,2
330218.3284022051,4166684.7629558626,2
330218.46840631217,4166685.231002178,2
330218.60841040546,4166685.6990484963,2
330218.7484145337,4166686.1670947964,2
330218.8884186725,4166686.6351410844,2
330219.02842279954,4166687.103187373,2
330219.1684269104,4166687.571233666,2
330219.30843100965,4166688.0392799615,2
330219.44843509264,4166688.5073262574,2
330219.588439164,4166688.9753725575,2
330219.7284432192,4166689.4434188595,2
330219.86844726256,4166689.911465161,2
330220.0084513099,4166690.379511458,2
330220.14845536556,4166690.847557746,2
330220.2884594072,4166691.315604036,2
330237.8767575391,4166686.0028814534,3
330237.4932435376,4166686.1250267723,3
330237.10972954874,4166686.247172107,3
330236.726215568,4166686.369317459,3
330236.34270160005,4166686.491462828,3
330235.9591876402,4166686.613608212,3
330235.57567368855,4166686.735753611,3
330235.19215974957,4166686.85789903,3
330234.80864582106,4166686.9800444636,3
330234.42513190076,4166687.1021899167,3
