fid,cngdegrees,x,y
"-9",0,330308.9405023213,4166734.6169675328
"-9",4.492e-06,330309.0829814543,4166735.0823017438
"-9",8.984e-06,330309.1482207033,4166735.5728085735
"-9",1.3476e-05,330309.1378384916,4166736.0686249537
"-9",1.7968e-05,330309.0455858755,4166736.5523306793
"-9",2.246e-05,330308.8560622491,4166736.9861019976
"-9",2.6952e-05,330308.6214917235,4166737.3792709881
"-9",3.1444e-05,330308.3353531022,4166737.7209714130
"-9",3.5936e-05,330308.0190905563,4166738.0121092936
"-9",4.0428e-05,330307.6765140682,4166738.2590796314
"-9",4.492e-05,330307.3308097262,4166738.4975854191
"-9",4.9412e-05,330306.9576816436,4166738.6618778598
"-9",5.3904e-05,330306.5845535775,4166738.8261703178
"-9",5.8396e-05,330306.2114255232,4166738.9904627921
"-9",6.2888e-05,330305.8246170380,4166739.0941324905
"-9",6.738e-05,330305.4367039760,4166739.1929074046
"-9",7.1872e-05,330305.0487909225,4166739.2916823374
"-9",7.6364e-05,330304.6608778773,4166739.3904572888
"-9",8.0856e-05,330304.2706090001,4166739.4737688438
"-9",8.5348e-05,330303.8798012737,4166739.5535434303
"-9",8.984e-05,330303.4889935538,4166739.6333180377
"-9",9.4332e-05,330303.0981858406,4166739.7130926624
"-9",9.8824e-05,330302.7081689157,4166739.7981849625
"-9",0.000103316,330302.3195418417,4166739.8926233640
"-9",0.000107808,330301.9309147778,4166739.9870617874
"-9",0.0001123,330301.5422877196,4166740.0815002271
"-9",0.000116792,330301.1543917271,4166740.1801674287
"-9",0.000121284,330300.7681874468,4166740.2886201954
"-9",0.000125776,330300.3819831757,4166740.3970729806
"-9",0.000130268,330299.9957789114,4166740.5055257841
"-9",0.00013476,330299.6112723919,4166740.6226240033
"-9",0.000139252,330299.2276941240,4166740.7444491354
"-9",0.000143744,330298.8441158643,4166740.8662742856
"-9",0.000148236,330298.4616931422,4166740.9933704776
"-9",0.000152728,330298.0809081133,4166741.1279371064
"-9",0.00015722,330297.7001230961,4166741.2625037530
"-9",0.000161712,330297.3211566978,4166741.4046027367
"-9",0.000166204,330296.9432988171,4166741.5512929247
"-9",0.000170696,330296.5663150934,4166741.7013063538
"-9",0.000175188,330296.1914866296,4166741.8595133345
"-9",0.00017968,330295.8180084653,4166742.0224745562
"-9",0.000184172,330295.4465413947,4166742.1924549630
"-9",0.000188664,330295.0786646463,4166742.3740940206
"-10",0,330296.4393374254,4166741.7928669550
"-10",4.492e-06,330296.8348562912,4166741.7633100897
"-10",8.984e-06,330297.2311728029,4166741.7587380386
"-10",1.3476e-05,330297.6275749752,4166741.7692334610
"-10",1.7968e-05,330298.0229317029,4166741.8123637415
"-10",2.246e-05,330298.4169589499,4166741.8686588462
"-10",2.6952e-05,330298.8074326526,4166741.9601419610
"-10",3.1444e-05,330299.1950721434,4166742.0660646264
"-10",3.5936e-05,330299.5729909595,4166742.2215115591
"-10",4.0428e-05,330299.9486126981,4166742.3837948842
"-10",4.492e-05,330300.2987114762,4166742.6220380766
"-10",4.9412e-05,330300.6488102337,4166742.8602812849
"-10",5.3904e-05,330300.9489051497,4166743.1878999518
"-10",5.8396e-05,330301.2441702937,4166743.5241511934
"-10",6.2888e-05,330301.4750337136,4166743.9266788559
"-10",6.738e-05,330301.6800458691,4166744.3558102944
"-10",7.1872e-05,330301.8414614002,4166744.8068483574
"-10",7.6364e-05,330301.9331973961,4166745.2928993078
"-10",8.0856e-05,330302.0249333811,4166745.7789502600
