fid,cngdegrees,x,y
"-9",0,330233.5294503212,4166736.7821010887
"-9",4.492e-06,330233.4026665328,4166736.3082750398
"-9",8.984e-06,330233.2758827363,4166735.8344489937
"-9",1.3476e-05,330233.1490989340,4166735.3606229434
"-9",1.7968e-05,330233.0223151258,4166734.8867968926
"-9",2.246e-05,330232.8955313051,4166734.4129708442
"-9",2.6952e-05,330232.7687474874,4166733.9391447911
"-9",3.1444e-05,330232.6419636593,4166733.4653187394
"-9",3.5936e-05,330232.5151798233,4166732.9914926873
"-9",4.0428e-05,330232.3883959791,4166732.5176666342
"-9",4.492e-05,330232.2616121380,4166732.0438405783
"-9",4.9412e-05,330232.1348282821,4166731.5700145233
"-9",5.3904e-05,330232.0080444135,4166731.0961884703
"-9",5.8396e-05,330231.8812605504,4166730.6223624134
"-9",6.2888e-05,330231.7544766790,4166730.1485363543
"-9",6.738e-05,330231.6276927952,4166729.6747102975
"-9",7.1872e-05,330231.5009089033,4166729.2008842416
"-9",7.6364e-05,330231.3741250144,4166728.7270581801
"-9",8.0856e-05,330231.2473411175,4166728.2532321191
"-9",8.5348e-05,330231.1205572058,4166727.7794060609
"-9",8.984e-05,330230.9937732971,4166727.3055799985
"-9",9.4332e-05,330230.8669893780,4166726.8317539361
"-9",9.8824e-05,330230.7402054465,4166726.3579278751
"-9",0.000103316,330230.6134215180,4166725.8841018095
"-9",0.000107808,330230.4866375770,4166725.4102757466
"-9",0.0001123,330230.2945469802,4166724.9862564094
"-9",0.000116792,330230.0015523174,4166724.6471895473
"-9",0.000121284,330229.6928862888,4166724.3305841442
"-9",0.000125776,330229.3606474605,4166724.0548573015
"-9",0.000130268,330229.0115253349,4166723.8180867583
"-9",0.00013476,330228.6462380437,4166723.6200082614
"-9",0.000139252,330228.2530690542,4166723.5504887807
"-9",0.000143744,330227.8666573921,4166723.5964877289
"-9",0.000148236,330227.4972198766,4166723.7553343545
"-9",0.000152728,330227.2058490275,4166724.0899828863
"-9",0.00015722,330226.9626903959,4166724.4704954601
"-9",0.000161712,330226.7873049389,4166724.9154803241
"-9",0.000166204,330226.6160334934,4166725.3623479591
"-9",0.000170696,330226.5282011604,4166725.8474015966
"-9",0.000175188,330226.4403688399,4166726.3324552369
"-9",0.00017968,330226.3525365318,4166726.8175088777
"-9",0.000184172,330226.3164209018,4166727.3115398264
"-9",0.000188664,330226.3035480345,4166727.8096054001
"-9",0.000193156,330226.2906751732,4166728.3076709737
"-9",0.000197648,330226.3124575680,4166728.8012383343
"-9",0.00020214,330226.4132408869,4166729.2845514631
"-9",0.000206632,330226.5140241939,4166729.7678645928
"-9",0.000211124,330226.7021678615,4166730.2030198462
"-9",0.000215616,330226.9212641986,4166730.6211122689
"-9",0.000220108,330227.1832239482,4166730.9931167974
"-9",0.0002246,330227.4786787370,4166731.3291065600
"-9",0.000229092,330227.7881216454,4166731.6431841375
"-9",0.000233584,330228.1120038219,4166731.9346428257
"-9",0.000238076,330228.4319287478,4166732.2328232480
"-9",0.000242568,330228.7469887644,4166732.5392671647
"-9",0.00024706,330229.0373930950,4166732.8784954278
"-9",0.000251552,330229.2981427221,4166733.2571551730
"-9",0.000256044,330229.5021149760,4166733.6786131794
"-9",0.000260536,330229.6479435833,4166734.1438993313
"-9",0.000265028,330229.7431871993,4166734.6214556857
"-9",0.00026952,330229.7522568283,4166735.1199149289
"-9",0.000274012,330229.7613264607,4166735.6183741726
"-9",0.000278504,330229.7039656230,4166736.1072645402
"-9",0.000282996,330229.6126660890,4166736.5912662600
"-9",0.000287488,330229.5213665678,4166737.0752679831
"-9",0.00029198,330229.4300670593,4166737.5592697086
