fid,cngdegrees,x,y
"-12",0,330302.9412673683,4166715.9535198752
"-12",8.983e-06,330303.2619857529,4166716.8690219647
"-12",1.7966e-05,330303.5827041003,4166717.7845240519
"-12",2.6949e-05,330303.9034224127,4166718.7000261345
"-12",3.5932e-05,330304.2241406813,4166719.6155282175
"-12",4.4915e-05,330304.5448589328,4166720.5310302866
"-12",5.3898e-05,330304.8655771313,4166721.4465323617
"-12",6.2881e-05,330305.1862953038,4166722.3620344256
"-12",7.1864e-05,330305.5070134369,4166723.2775364886
"-12",8.0847e-05,330305.8277315283,4166724.1930385511
"-12",8.983e-05,330306.1484495937,4166725.1085406025
"-12",9.8813e-05,330306.4691676196,4166726.0240426534
"-12",0.000107796,330306.7836371053,4166726.9425437921
"-12",0.000116779,330306.9734394786,4166727.9093016703
"-12",0.000125762,330306.9865612322,4166728.9015846457
"-12",0.000134745,330306.7968519646,4166729.8605232169
"-12",0.000143728,330306.3961353530,4166730.7076708162
"-12",0.000152711,330305.8326129675,4166731.3911818680
"-12",0.000161694,330305.1763566696,4166731.9304932705
"-12",0.000170677,330304.4641841549,4166732.3604420270
"-12",0.00017966,330303.7066538353,4166732.6394161591
"-12",0.000188643,330302.9422293719,4166732.8954429114
"-12",0.000197626,330302.1673385642,4166733.0965549783
"-12",0.000206609,330301.3904997842,4166733.2874463848
"-12",0.000215592,330300.6139650957,4166733.4801652543
"-12",0.000224575,330299.8385728871,4166733.6797502618
"-12",0.000233558,330299.0631807122,4166733.8793353382
"-12",0.000242541,330298.2878014558,4166734.0789953223
"-12",0.000251524,330297.5132819530,4166734.2836472462
"-12",0.000260507,330296.7387624825,4166734.4882992473
"-12",0.00026949,330295.9642430489,4166734.6929513193
"-12",0.000278473,330295.1899886392,4166734.8991108937
"-12",0.000287456,330294.4160523984,4166735.1070802822
"-12",0.000296439,330293.6421161952,4166735.3150497414
"-12",0.000305422,330292.8681800250,4166735.5230192775
"-12",0.000314405,330292.0945470084,4166735.7326898631
"-12",0.000323388,330291.3210278821,4166735.9429994142
"-12",0.000332371,330290.5475087893,4166736.1533090407
"-12",0.000341354,330289.7739991604,4166736.3636711338
"-12",0.000350337,330289.0007929491,4166736.5757192601
"-12",0.00035932,330288.2275867714,4166736.7877674601
"-12",0.000368303,330287.4543806297,4166736.9998157346
"-12",0.000377286,330286.6813111159,4166737.2126176422
"-12",0.000386269,330285.9083481748,4166737.4260073574
"-12",0.000395252,330285.1353852677,4166737.6393971457
"-12",0.000404235,330284.3625232284,4166737.8533401489
"-12",0.000413218,330283.5897543699,4166738.0677941735
"-12",0.000422201,330282.8170015753,4166738.2823358015
"-12",0.000431184,330282.0443899008,4166738.4976479784
"-12",0.000440167,330281.2718391812,4166738.7132917256
"-12",0.00044915,330280.5147094663,4166738.9951336961
"-12",0.000458133,330279.7278400107,4166739.0813518753
"-12",0.000467116,330278.9450410041,4166738.9440015089
"-12",0.000476099,330278.2186092430,4166738.5463862377
"-12",0.000485082,330277.6184262273,4166737.8903791071
"-12",0.000494065,330277.1707211139,4166737.0622695158
"-12",0.000503048,330276.8624774564,4166736.1426603878
"-12",0.000512031,330276.6042931429,4166735.1981022530
"-12",0.000521014,330276.3793729726,4166734.2395110824
"-12",0.000529997,330276.1495899419,4166733.2826916985
"-12",0.00053898,330275.9172222326,4166732.3268354782
"-12",0.000547963,330275.6818907319,4166731.3720922009
"-12",0.000556946,330275.4432825026,4166730.4185976479
"-12",0.000565929,330275.2011379219,4166729.4664744497
"-12",0.000574912,330274.9552417235,4166728.5158326696
"-12",0.000583895,330274.7054193204,4166727.5667691310
"-12",0.000592878,330274.5395075080,4166726.6001828946
"-12",0.000601861,330274.6783682697,4166725.6258399663
"-12",0.000610844,330275.0601579835,4166724.7665006761
"-12",0.000619827,330275.6671270908,4166724.1437082258
"-12",0.00062881,330276.3946898508,4166723.7692706841
"-12",0.000637792999999999,330277.1737393100,4166723.6083765114
"-12",0.000646775999999999,330277.9588374625,4166723.4774964815
"-12",0.000655758999999999,330278.7437311010,4166723.3447872302
"-12",0.000664741999999999,330279.5200014786,4166723.1514464505
"-12",0.000673724999999999,330280.2953288233,4166722.9514748962
"-12",0.000682707999999999,330281.0700437416,4166722.7481390201
"-12",0.000691690999999999,330281.8404061962,4166722.5208938345
"-12",0.000700673999999999,330282.6107686917,4166722.2936487207
