fid,cngdegrees,x,y
"-9",0,330301.1689784511,4166709.4283367554
"-9",2.695e-06,330301.2547391895,4166709.7083169222
"-9",5.39e-06,330301.3404999273,4166709.9882970881
"-9",8.085e-06,330301.4262606600,4166710.2682772530
"-9",1.078e-05,330301.5120213898,4166710.5482574217
"-9",1.3475e-05,330301.5977821144,4166710.8282375862
"-9",1.617e-05,330301.6835428385,4166711.1082177530
"-9",1.8865e-05,330301.7693035640,4166711.3881979161
"-9",2.156e-05,330301.8550642821,4166711.6681780815
"-9",2.4255e-05,330301.9408249975,4166711.9481582465
"-9",2.695e-05,330302.0265857120,4166712.2281384096
"-9",2.9645e-05,330302.1123464259,4166712.5081185722
"-9",3.234e-05,330302.1981071325,4166712.7880987362
"-9",3.5035e-05,330302.2838678339,4166713.0680789002
"-9",3.773e-05,330302.3696285392,4166713.3480590633
"-9",4.0425e-05,330302.4553892415,4166713.6280392250
"-9",4.312e-05,330302.5411499365,4166713.9080193862
"-9",4.5815e-05,330302.6269106285,4166714.1879995479
"-9",4.851e-05,330302.7126713221,4166714.4679797087
"-9",5.1205e-05,330302.7984320129,4166714.7479598694
"-9",5.39e-05,330302.8841926985,4166715.0279400321
"-9",5.6595e-05,330302.9699533789,4166715.3079201938
"-9",5.929e-05,330303.0557140609,4166715.5879003522
"-9",6.1985e-05,330303.1414747401,4166715.8678805130
"-9",6.468e-05,330303.2272354141,4166716.1478606719
"-9",6.7375e-05,330303.3129960852,4166716.4278408322
"-9",7.007e-05,330303.3987567557,4166716.7078209911
"-10",0,330303.0259386534,4166715.3981375834
"-10",2.695e-06,330303.1110884563,4166715.6784060327
"-10",5.39e-06,330303.1962382542,4166715.9586744863
"-10",8.085e-06,330303.2813880470,4166716.2389429375
"-10",1.078e-05,330303.3665378369,4166716.5192113905
"-10",1.3475e-05,330303.4516876239,4166716.7994798431
"-10",1.617e-05,330303.5368374037,4166717.0797482962
"-10",1.8865e-05,330303.6219871895,4166717.3600167446
"-10",2.156e-05,330303.7071369702,4166717.6402851953
"-10",2.4255e-05,330303.7922867480,4166717.9205536470
"-10",2.695e-05,330303.8774365186,4166718.2008220982
"-10",2.9645e-05,330303.9625862951,4166718.4810905447
"-10",3.234e-05,330304.0477360643,4166718.7613589945
"-10",3.5035e-05,330304.1328858307,4166719.0416274434
"-10",3.773e-05,330304.2180355898,4166719.3218958951
"-10",4.0425e-05,330304.3031853526,4166719.6021643407
"-10",4.312e-05,330304.3883351126,4166719.8824327881
"-10",4.5815e-05,330304.4734848676,4166720.1627012370
"-10",4.851e-05,330304.5586346174,4166720.4429696854
"-10",5.1205e-05,330304.6437843666,4166720.7232381338
"-10",5.39e-05,330304.7289341175,4166721.0035065790
"-10",5.6595e-05,330304.8140838609,4166721.2837750274
"-10",5.929e-05,330304.8992336015,4166721.5640434735
"-10",6.1985e-05,330304.9843833393,4166721.8443119191
"-10",6.468e-05,330305.0695330786,4166722.1245803633
"-10",6.7375e-05,330305.1546828107,4166722.4048488089
"-10",7.007e-05,330305.2398325420,4166722.6851172545
"-10",7.2765e-05,330305.3249822706,4166722.9653856992
"-10",7.546e-05,330305.4101319940,4166723.2456541439
"-11",0,330305.0444377851,4166721.8903107680
"-11",2.695e-06,330305.1349262151,4166722.1679769470
"-11",5.39e-06,330305.2254146419,4166722.4456431246
"-11",8.085e-06,330305.3159030656,4166722.7233093041
"-11",1.078e-05,330305.4063914838,4166723.0009754826
"-11",1.3475e-05,330305.4968798989,4166723.2786416626
"-11",1.617e-05,330305.5873683129,4166723.5563078402
"-11",1.8865e-05,330305.6778567282,4166723.8339740159
"-11",2.156e-05,330305.7683451359,4166724.1116401926
"-11",2.4255e-05,330305.8588335404,4166724.3893063702
"-11",2.695e-05,330305.9493219462,4166724.6669725450
"-11",2.9645e-05,330306.0398103465,4166724.9446387207
"-11",3.234e-05,330306.1302987393,4166725.2223048974
"-11",3.5035e-05,330306.2207871310,4166725.4999710727
"-11",3.773e-05,330306.3112755262,4166725.7776372470
"-11",4.0425e-05,330306.4017639138,4166726.0553034209
"-11",4.312e-05,330306.4922522982,4166726.3329695961
"-11",4.5815e-05,330306.5827406795,4166726.6106357714
"-11",4.851e-05,330306.6732290620,4166726.8883019434
"-11",5.1205e-05,330306.7637174368,4166727.1659681159
"-11",5.39e-05,330306.8542058085,4166727.4436342898
"-11",5.6595e-05,330306.9446941791,4166727.7213004618
"-11",5.929e-05,330307.0351825467,4166727.9989666338
"-11",6.1985e-05,330307.1256709088,4166728.2766328063
"-11",6.468e-05,330307.2161592721,4166728.5542989783
"-11",6.7375e-05,330307.3066476301,4166728.8319651489
"-12",0,330306.8998538323,4166727.7850365345
"-12",2.695e-06,330306.9779200385,4166728.0684729191
"-12",5.39e-06,330307.0559862401,4166728.3519093031
"-12",8.085e-06,330307.1340524393,4166728.6353456890
"-12",1.078e-05,330307.2121186337,4166728.9187820745
"-12",1.3475e-05,330307.2901848258,4166729.2022184590
"-12",1.617e-05,330307.3682510132,4166729.4856548440
"-12",1.8865e-05,330307.4463172049,4166729.7690912290
"-12",2.156e-05,330307.5243833920,4166730.0525276111
"-12",2.4255e-05,330307.6024495721,4166730.3359639966
"-12",2.695e-05,330307.6805157544,4166730.6194003792
"-12",2.9645e-05,330307.7585819341,4166730.9028367610
"-12",3.234e-05,330307.8366481115,4166731.1862731441
"-12",3.5035e-05,330307.9147142843,4166731.4697095263
"-12",3.773e-05,330307.9927804546,4166731.7531459103
"-12",4.0425e-05,330308.0708466269,4166732.0365822911
"-12",4.312e-05,330308.1489127924,4166732.3200186719
"-12",4.5815e-05,330308.2269789555,4166732.6034550546
"-12",4.851e-05,330308.3050451161,4166732.8868914358
"-12",5.1205e-05,330308.3831112788,4166733.1703278162
"-12",5.39e-05,330308.4611774368,4166733.4537641970
"-12",5.6595e-05,330308.5392435880,4166733.7372005782
"-12",5.929e-05,330308.6173097412,4166734.0206369585
"-12",6.1985e-05,330308.6953758897,4166734.3040733370
