fid,cngdegrees,x,y
"-9",0,330301.4098411539,4166710.3607838680
"-9",8.983e-06,330301.6899045533,4166711.2967301402
"-9",1.7966e-05,330301.9699679414,4166712.2326763985
"-9",2.6949e-05,330302.2500312760,4166713.1686226665
"-9",3.5932e-05,330302.5300945816,4166714.1045689289
"-9",4.4915e-05,330302.8101578893,4166715.0405151746
"-9",5.3898e-05,330303.0902211389,4166715.9764614282
"-9",6.2881e-05,330303.3702843351,4166716.9124076930
"-9",7.1864e-05,330303.6503475245,4166717.8483539410
"-9",8.0847e-05,330303.9304107226,4166718.7843001690
"-9",8.983e-05,330304.2104738673,4166719.7202464030
"-9",9.8813e-05,330304.4905369539,4166720.6561926454
"-9",0.000107796,330304.7705999848,4166721.5921388990
"-9",0.000116779,330305.0506630512,4166722.5280851191
"-9",0.000125762,330305.3307261018,4166723.4640313289
"-9",0.000134745,330305.6107890945,4166724.3999775471
"-9",0.000143728,330305.8908520338,4166725.3359237728
"-9",0.000152711,330306.1709149172,4166726.2718700082
"-9",0.000161694,330306.4509778160,4166727.2078162194
"-9",0.000170677,330306.7310407214,4166728.1437624088
"-9",0.00017966,330307.0111035756,4166729.0797086065
"-9",0.000188643,330307.2911663717,4166730.0156548135
"-9",0.000197626,330307.5712291144,4166730.9516010289
"-9",0.000206609,330307.8512918435,4166731.8875472303
"-9",0.000215592,330308.1313546015,4166732.8234934034
"-9",0.000224575,330308.4114173059,4166733.7594395857
"-9",0.000233558,330308.6914799523,4166734.6953857737
"-9",0.000242541,330308.9715425430,4166735.6313319728
"-9",0.000251524,330309.2516051469,4166736.5672781472
"-9",0.000260507,330309.5316677419,4166737.5032243095
"-9",0.00026949,330309.8117302810,4166738.4391704816
"-9",0.000278473,330310.0917927644,4166739.3751166607
"-9",0.000287456,330310.3718552499,4166740.3110628207
"-9",0.000296439,330310.6519177086,4166741.2470089775
"-9",0.000305422,330310.9319801115,4166742.1829551426
