fid,cngdegrees,x,y
"-9",0,330308.3973978063,4166734.0890303431
"-9",4.492e-06,330308.5781893218,4166734.5345543246
"-9",8.984e-06,330308.7250249380,4166734.9988365378
"-9",1.3476e-05,330308.8413115837,4166735.4756212994
"-9",1.7968e-05,330308.9263058198,4166735.9635293279
"-9",2.246e-05,330308.9482228402,4166736.4601999098
"-9",2.6952e-05,330308.9433836970,4166736.9565564217
"-9",3.1444e-05,330308.8475665043,4166737.4391258722
"-9",3.5936e-05,330308.7114858092,4166737.8992287321
"-9",4.0428e-05,330308.4956466023,4166738.3148272280
"-9",4.492e-05,330308.2458833610,4166738.6907418943
"-9",4.9412e-05,330307.9320599530,4166738.9917199682
"-9",5.3904e-05,330307.6182365703,4166739.2926980536
"-9",5.8396e-05,330307.2532469072,4166739.4802426593
"-9",6.2888e-05,330306.8847914426,4166739.6601037071
"-9",6.738e-05,330306.5163359934,4166739.8399647721
"-9",7.1872e-05,330306.1300443445,4166739.9405827313
"-9",7.6364e-05,330305.7395154424,4166740.0223753112
"-9",8.0856e-05,330305.3489865448,4166740.1041679098
"-9",8.5348e-05,330304.9584576562,4166740.1859605270
"-9",8.984e-05,330304.5655341958,4166740.2466860129
"-9",9.4332e-05,330304.1713916026,4166740.2966857208
"-9",9.8824e-05,330303.7772490131,4166740.3466854482
"-9",0.000103316,330303.3831064274,4166740.3966851942
"-9",0.000107808,330302.9897734617,4166740.4546610359
"-9",0.0001123,330302.5973523618,4166740.5216201958
"-9",0.000116792,330302.2049312671,4166740.5885793734
"-9",0.000121284,330301.8133003570,4166740.6614104514
"-9",0.000125776,330301.4240118339,4166740.7516479506
"-9",0.000130268,330301.0347233181,4166740.8418854671
"-9",0.00013476,330300.6495744747,4166740.9552838602
"-9",0.000139252,330300.2655082876,4166741.0747395358
"-9",0.000143744,330299.8873906468,4166741.2200553087
"-9",0.000148236,330299.5115232434,4166741.3741866974
"-9",0.000152728,330299.1391461631,4166741.5410891832
"-9",0.00015722,330298.7660698288,4166741.7055580062
"-9",0.000161712,330298.3913871527,4166741.8640240473
"-9",0.000166204,330298.0127948885,4166742.0077737458
"-9",0.000170696,330297.6316402396,4166742.1400706777
"-9",0.000175188,330297.2472114453,4166742.2577335881
"-9",0.00017968,330296.8622866000,4166742.3726441306
"-9",0.000184172,330296.4735587626,4166742.4664537874
"-9",0.000188664,330296.0848309330,4166742.5602634610
"-10",0,330303.4515788707,4166740.3665172569
"-10",4.492e-06,330303.0621171684,4166740.4512268864
"-10",8.984e-06,330302.6872456777,4166740.6060478082
"-10",1.3476e-05,330302.3346454419,4166740.8262778330
"-10",1.7968e-05,330302.0128469228,4166741.1116491654
"-10",2.246e-05,330301.7438758351,4166741.4747234033
"-10",2.6952e-05,330301.5435810227,4166741.8992702314
"-10",3.1444e-05,330301.3934977225,4166742.3545304518
"-10",3.5936e-05,330301.3116812902,4166742.8413121058
"-10",4.0428e-05,330301.2849337484,4166743.3347980143
"-10",4.492e-05,330301.2982205154,4166743.8331578248
"-10",4.9412e-05,330301.3431413980,4166744.3266729536
"-10",5.3904e-05,330301.4326111506,4166744.8133655447
"-10",5.8396e-05,330301.5220808970,4166745.3000581362
"-10",6.2888e-05,330301.6333207656,4166745.7794403862
"-10",6.738e-05,330301.7550823271,4166746.2552894838
"-10",7.1872e-05,330301.8770059131,4166746.7310728170
"-10",7.6364e-05,330302.0053528652,4166747.2042490626
"-10",8.0856e-05,330302.1355712693,4166747.6766030118
"-10",8.5348e-05,330302.2751602583,4166748.1448396519
"-10",8.984e-05,330302.4506855344,4166748.4679046418
"-10",9.4332e-05,330302.3833418883,4166747.9772878489
