X-axis,Y-axis,Link
330303.80478535173,4166719.440731795,3
330304.1828094572,4166719.5957665816,3
330304.5608335477,4166719.7508013835,3
330304.9388576234,4166719.9058362036,3
330305.27526129724,4166720.171677674,3
330305.6086630075,4166720.4455112726,3
330305.89418322395,4166720.7852274077,3
330306.1406983036,4166721.1786126452,3
330306.3203810271,4166721.617552456,3
330306.4516550821,4166722.0894887988,3
330306.4983554812,4166722.581867007,3
330306.51775308873,4166723.0794195766,3
330306.461309946,4166723.5721535324,3
330306.38334906584,4166724.0587188327,3
330306.27088400687,4166724.5353925484,3
330306.12565420027,4166724.99712762,3
330305.9590644815,4166725.447109377,3
330305.7896043075,4166725.894146684,3
330305.68032890884,4166726.3718004352,3
330305.5926216322,4166726.856786649,3
330305.53654267185,4166727.349590552,3
330305.5052106575,4166727.8454067404,3
330305.4923731233,4166728.343474138,3
330305.5278797604,4166728.8398495005,3
330305.5725721264,4166729.3354305224,3
330305.6829149107,4166729.815537631,3
330305.79932067,4166730.292605745,3
330305.98703239404,4166730.733932627,3
330306.1747440995,4166731.1752595147,3
330306.43817542354,4166731.550806793,3
330306.70233167836,4166731.925724294,3
330307.0097054208,4166732.239605489,3
330307.3359596548,4166732.5268216506,3
330307.66228077025,4166732.8139162674,3
330307.9895705251,4166733.0992510794,3
330308.3168602575,4166733.3845859007,3
330308.6270031559,4166733.695228536,3
330308.90238599456,4166734.0571751897,3
330309.17776880774,4166734.419121855,3
330309.41055992857,4166734.8236866198,3
330309.6306604099,4166735.240949884,3
330309.8337668956,4166735.670055627,3
330310.00207438506,4166736.1234114957,3
330310.170381858,4166736.5767673682,3
330310.2938698862,4166737.051910958,3
330310.4171235971,4166737.52716845,3
330310.51014026697,4166738.012450159,3
330310.5956336271,4166738.500226002,3
330310.6560505109,4166738.9933535554,3
330310.7082387988,4166739.488039418,3
330310.7369015228,4166739.9855582155,3
330310.7502559158,4166740.4837761126,3
330310.34855135164,4166739.7404708425,4
330310.50782890886,4166740.1988679864,4
330310.66627312126,4166740.6577130803,4
330310.82413995604,4166741.116866836,4
330310.98107195034,4166741.576518197,4
330311.1371881043,4166742.036599025,4
330311.2924500335,4166742.497129523,4
330311.44620840927,4166742.95843889,4
330311.5990104408,4166743.4202436544,4
330311.74882454006,4166743.8835574854,4
330311.8971489759,4166744.347612286,4
330312.0384531805,4166744.815052625,4
330312.16580130317,4166745.2884986405,4
