               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.063495,            0.010196,            0.036762,             0.77219,             0.61639,             0.66414,              0.3298,            0.047369,           0.0058196,            0.016382,             0.07001,           0.0033322,           0.0033322
                   1,            0.050185,           0.0073413,            0.011327,             0.84519,             0.70348,             0.75347,             0.42217,            0.041344,           0.0052178,           0.0082503,            0.039966,           0.0066215,           0.0066215
                   2,            0.047553,           0.0071796,            0.010164,             0.86181,             0.71054,             0.75643,             0.42015,            0.040719,           0.0050522,           0.0080676,           0.0098783,           0.0098669,           0.0098669
                   3,             0.04431,            0.006917,           0.0089597,             0.88494,             0.73973,             0.78969,             0.46547,             0.03839,           0.0047168,           0.0059037,            0.009802,            0.009802,            0.009802
                   4,            0.041404,           0.0065196,           0.0070191,             0.88272,             0.76363,             0.80462,             0.47957,            0.037185,           0.0046052,           0.0048048,            0.009802,            0.009802,            0.009802
                   5,            0.039775,           0.0062654,           0.0060882,             0.89192,             0.77001,             0.82008,              0.4966,            0.036103,           0.0044323,           0.0042267,            0.009736,            0.009736,            0.009736
                   6,            0.038758,           0.0061793,           0.0055849,             0.89501,             0.78198,             0.82531,              0.5054,            0.035415,           0.0043693,           0.0038381,             0.00967,             0.00967,             0.00967
                   7,            0.038218,           0.0060834,           0.0052265,             0.89837,             0.78814,             0.82974,             0.51187,            0.035027,           0.0043301,           0.0033255,            0.009604,            0.009604,            0.009604
                   8,            0.037758,           0.0059636,           0.0049563,             0.89237,             0.79937,             0.83647,              0.5196,             0.03454,           0.0042591,           0.0030375,            0.009538,            0.009538,            0.009538
                   9,            0.037174,           0.0059363,           0.0045358,             0.90123,             0.80707,              0.8435,             0.53053,            0.033592,           0.0041906,           0.0028876,            0.009472,            0.009472,            0.009472
                  10,            0.036829,           0.0058984,           0.0044516,             0.90478,              0.8194,             0.85208,             0.53977,            0.032899,           0.0041369,           0.0024669,            0.009406,            0.009406,            0.009406
                  11,            0.036405,           0.0058334,           0.0043369,             0.91408,             0.82018,             0.85949,              0.5501,            0.032269,           0.0040898,           0.0024736,             0.00934,             0.00934,             0.00934
                  12,            0.036126,           0.0057808,           0.0040524,             0.90986,             0.82447,             0.86108,              0.5551,            0.031905,           0.0040548,           0.0023647,            0.009274,            0.009274,            0.009274
                  13,            0.035862,           0.0057767,           0.0038756,             0.91353,             0.82611,             0.86308,             0.55828,             0.03164,           0.0040228,           0.0022113,            0.009208,            0.009208,            0.009208
                  14,            0.035718,           0.0057148,           0.0039399,             0.91465,             0.83307,              0.8665,             0.56173,             0.03145,           0.0040076,           0.0021127,            0.009142,            0.009142,            0.009142
                  15,            0.035564,            0.005683,            0.003859,             0.91311,             0.83505,             0.86734,             0.56237,            0.031305,           0.0039982,            0.002058,            0.009076,            0.009076,            0.009076
                  16,            0.035202,           0.0056636,           0.0038734,             0.91559,              0.8316,               0.869,             0.56598,            0.031076,           0.0039864,           0.0019623,             0.00901,             0.00901,             0.00901
                  17,            0.035237,           0.0056855,           0.0037538,              0.9133,             0.83794,             0.87174,             0.56775,            0.030954,           0.0039773,           0.0018929,            0.008944,            0.008944,            0.008944
                  18,            0.034899,           0.0055571,           0.0035265,              0.9157,             0.83794,             0.87306,             0.57056,            0.030801,           0.0039599,           0.0017982,            0.008878,            0.008878,            0.008878
                  19,            0.034914,           0.0056426,           0.0035638,             0.91636,             0.83766,             0.87288,              0.5718,            0.030688,           0.0039496,           0.0017256,            0.008812,            0.008812,            0.008812
                  20,            0.034574,           0.0055714,            0.003452,             0.91812,             0.84012,             0.87496,             0.57374,            0.030609,           0.0039399,           0.0016704,            0.008746,            0.008746,            0.008746
                  21,            0.034291,           0.0055517,           0.0032273,             0.91686,             0.84047,             0.87559,             0.57509,            0.030508,           0.0039297,           0.0016201,             0.00868,             0.00868,             0.00868
                  22,            0.034193,           0.0055283,           0.0034724,             0.91482,             0.84337,             0.87689,             0.57624,            0.030427,           0.0039214,           0.0015916,            0.008614,            0.008614,            0.008614
                  23,            0.034091,           0.0055035,           0.0033147,             0.91877,             0.84117,             0.87751,             0.57801,            0.030334,           0.0039139,           0.0015666,            0.008548,            0.008548,            0.008548
                  24,            0.034091,           0.0055529,           0.0033055,             0.91829,             0.84183,             0.87791,             0.57916,            0.030259,           0.0039069,           0.0015442,            0.008482,            0.008482,            0.008482
                  25,            0.033874,           0.0055235,           0.0032903,             0.92117,             0.84021,             0.87824,              0.5799,              0.0302,            0.003901,           0.0015284,            0.008416,            0.008416,            0.008416
                  26,            0.033545,           0.0054529,           0.0031543,             0.91997,             0.84215,             0.87908,             0.58084,            0.030137,           0.0038952,            0.001512,             0.00835,             0.00835,             0.00835
                  27,            0.033592,           0.0055066,           0.0030517,             0.91733,             0.84492,             0.87973,             0.58183,             0.03007,           0.0038896,           0.0014935,            0.008284,            0.008284,            0.008284
                  28,            0.033515,           0.0054643,           0.0031717,             0.91943,              0.8452,              0.8803,             0.58282,            0.030017,           0.0038837,            0.001474,            0.008218,            0.008218,            0.008218
                  29,            0.033483,           0.0054782,           0.0029279,             0.91923,             0.84641,             0.88077,             0.58351,            0.029978,           0.0038776,           0.0014532,            0.008152,            0.008152,            0.008152
                  30,            0.033153,           0.0054201,           0.0030445,             0.92051,             0.84657,             0.88121,             0.58425,            0.029935,           0.0038724,           0.0014377,            0.008086,            0.008086,            0.008086
                  31,            0.033307,           0.0053964,           0.0029464,             0.92018,             0.84769,             0.88174,             0.58505,            0.029902,            0.003866,           0.0014195,             0.00802,             0.00802,             0.00802
                  32,            0.033186,           0.0054137,           0.0029501,             0.92028,             0.84833,             0.88213,             0.58552,            0.029872,           0.0038607,           0.0014001,            0.007954,            0.007954,            0.007954
                  33,            0.033015,           0.0053788,           0.0029705,             0.91995,             0.84948,             0.88241,             0.58611,            0.029834,           0.0038552,           0.0013764,            0.007888,            0.007888,            0.007888
                  34,            0.033076,           0.0054129,           0.0029331,             0.91946,             0.85041,             0.88287,             0.58712,              0.0298,           0.0038492,            0.001358,            0.007822,            0.007822,            0.007822
                  35,            0.032983,           0.0054066,           0.0029474,             0.91765,             0.85196,             0.88309,             0.58772,            0.029765,           0.0038443,           0.0013376,            0.007756,            0.007756,            0.007756
                  36,             0.03283,           0.0053273,           0.0028929,             0.91934,             0.85162,             0.88338,             0.58824,             0.02974,           0.0038392,           0.0013174,             0.00769,             0.00769,             0.00769
                  37,            0.032656,           0.0053992,           0.0027767,             0.92089,             0.85199,             0.88438,             0.58911,            0.029693,           0.0038329,            0.001295,            0.007624,            0.007624,            0.007624
                  38,            0.032813,           0.0053861,           0.0028741,             0.91984,             0.85374,             0.88531,             0.59001,            0.029642,           0.0038269,           0.0012739,            0.007558,            0.007558,            0.007558
                  39,            0.032568,           0.0053156,             0.00266,             0.92058,             0.85461,             0.88634,             0.59097,            0.029597,           0.0038217,           0.0012551,            0.007492,            0.007492,            0.007492
                  40,            0.032446,           0.0053361,           0.0026643,              0.9217,             0.85416,             0.88669,             0.59166,            0.029544,           0.0038153,           0.0012382,            0.007426,            0.007426,            0.007426
                  41,            0.032522,           0.0053308,           0.0026674,             0.92078,              0.8547,             0.88665,             0.59221,            0.029501,           0.0038097,           0.0012229,             0.00736,             0.00736,             0.00736
                  42,            0.032483,            0.005363,           0.0026615,             0.91941,             0.85727,             0.88726,              0.5932,            0.029455,           0.0038034,           0.0012048,            0.007294,            0.007294,            0.007294
                  43,             0.03233,           0.0052927,            0.002641,             0.92096,             0.85716,             0.88725,             0.59375,             0.02941,           0.0037979,           0.0011867,            0.007228,            0.007228,            0.007228
                  44,            0.032169,           0.0052816,           0.0026263,             0.92216,             0.85686,             0.88724,              0.5946,            0.029356,           0.0037922,           0.0011707,            0.007162,            0.007162,            0.007162
                  45,            0.032041,            0.005278,           0.0024725,             0.92364,              0.8572,             0.88819,             0.59607,            0.029287,           0.0037853,             0.00115,            0.007096,            0.007096,            0.007096
                  46,            0.032246,           0.0052958,           0.0025902,             0.92339,             0.86026,             0.88984,             0.59709,            0.029215,           0.0037785,           0.0011281,             0.00703,             0.00703,             0.00703
                  47,            0.032114,            0.005293,           0.0025422,             0.92271,             0.86131,             0.89092,              0.5978,             0.02915,           0.0037726,           0.0011106,            0.006964,            0.006964,            0.006964
                  48,            0.031993,           0.0052813,           0.0025146,             0.92477,             0.86038,              0.8913,             0.59868,            0.029078,           0.0037653,            0.001092,            0.006898,            0.006898,            0.006898
